cod_provin,provincia,cod_canton,canton,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020
1,San José,113,Tibás,16,16,15,13,11,11,11,11,11,10,9,8,9,9,9,9,8,8,8,8,8,8,8,6,6,7,6,6,6,7,7,7,9,7,6,6,6,4,4,4,3,3,3,3,3,1,1,1,1,1,0,1,2,2,2,3,4,8,8,10,10,11,11,13,14,14,13,19,20,22,24,29,32,37,47,55,64,78,82,94,109,113,119,144,155
1,San José,116,Turrubares,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7
1,San José,111,Vázquez de Coronado,5,5,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3,4,4,3,3,2,2,2,4,4,5,5,5,6,5,6,6,6,6,7,7,6,4,5,5,5,6,8,9,9,9,11,11,16,17,20,22,20,22,24,26,29,30,31,30,39,47,59,64,61,68,72,74
2,Alajuela,201,Alajuela,37,31,31,31,30,27,25,28,29,28,28,26,26,25,25,24,23,22,18,17,15,15,13,13,13,10,11,11,11,12,10,10,11,10,10,9,9,10,10,10,8,8,9,9,11,19,19,20,20,22,25,28,27,27,28,29,31,31,31,40,45,47,51,54,56,77,83,92,95,105,113,129,148,169,185,215,221,237,257,301,328,362,386,395,416
2,Alajuela,205,Atenas,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,3,3,3,3,3,3,3,4,5,6,6,6,6,6,7,7,7,7,7,9,11,12,15,16,18,19
2,Alajuela,203,Grecia,14,14,14,14,14,13,12,12,11,11,11,10,9,6,5,5,5,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,6,6,9,9,8,9,8,12,13,14,14,16,16,16,18,20,24,25,26,29,30,26
2,Alajuela,215,Guatuso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,7,14,14,16,20,40,49,48,57,57,58,67,67,70,70,79,73,75,62,57,61,61,62,62,62
2,Alajuela,214,Los Chiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,9,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,37,46,46,47,47,47,47,58,64,67,68,68,69,82,89,65,66,64,66,65,62,62,60,59,59,69,69,54
2,Alajuela,206,Naranjo,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,5,5,5,5,5,5,5,5,4,5,5,5,6,6,6,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,4,4,4,2,2,1,1,1,1,1,0,0,1,3,3,3,5,7,7,12,12,12,12,14,16,16,19,21,22,23,29
2,Alajuela,209,Orotina,6,6,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,5,5,4,4
2,Alajuela,207,Palmares,11,10,9,5,4,3,3,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,2,4,6,6,15,16,20,24,24,24,26,27,29,33,36,36
2,Alajuela,208,Poás,5,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,5,6,7,8,8,8,8,8,9,9,10,10,10,10,4,4,4,6,6,6,6,7,7,8,9,11,13,13,12
2,Alajuela,216,Río Cuarto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Alajuela,210,San Carlos,24,22,22,22,21,20,20,18,17,16,16,18,12,12,10,10,7,5,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,3,4,4,6,6,11,14,14,21,25,29,38,40,43,70,77,84,116,121,126,133,154,157,165,171,161,160,161,168,175,153,136,132,119,117,108,111,110,91,93,106,100,103,103,112,94,98,78,81,86,89,95
2,Alajuela,204,San Mateo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2
2,Alajuela,202,San Ramón,10,10,10,10,10,10,9,9,9,10,10,10,11,11,11,11,11,11,11,12,12,12,11,11,11,11,11,11,11,11,12,12,12,11,12,12,20,24,26,36,35,35,35,40,44,45,47,52,51,51,61,90,104,107,109,110,110,109,109,110,111,111,112,79,79,79,81,81,77,74,76,56,22,33,38,43,46,49,52,55,53,58,58,62,66
2,Alajuela,212,Sarchí,5,5,5,5,5,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,7,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,44,1,1,1,2,3,5,7,7,9
2,Alajuela,213,Upala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,8,9,8,14,21,23,26,27,40,43,45,44,44,44,45,49,50,54,47,43,32,34,47,42,42,42,49,45,46,48,50,1,61,59,55,49,45,36,37,38,32
2,Alajuela,211,Zarcero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,5,7,7,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,6,8,7,7,6,6,6,6,6,6,6,6,6
3,Cartago,306,Alvarado,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Cartago,301,Cartago,11,11,10,10,10,10,10,9,9,9,9,10,11,10,10,9,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,8,8,9,8,8,8,6,4,6,6,6,7,5,6,9,9,11,13,14,15,15,19,20,24,25,28,28,32,37,40,44,46,48,53
3,Cartago,308,El Guarco,3,3,3,3,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,4,4,4,5,6,6,6,8,8,9,10,10,10,11,15,14,13,14,15,15
3,Cartago,304,Jiménez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,4,4,6,6,6,6,6,6,6,6,5,5,5,5,5,0,0,0,0,0,0
3,Cartago,303,La Unión,14,12,12,12,16,16,15,13,12,13,13,14,14,14,14,14,13,13,12,11,11,11,11,11,12,12,10,10,10,10,11,10,10,10,11,11,11,11,11,11,10,8,9,9,9,8,9,9,9,9,12,12,11,11,11,11,12,11,13,14,16,18,18,20,20,21,21,23,26,35,40,46,54,57,57,61,64,68,60,83,86,89,92,99,115
3,Cartago,307,Oreamuno,5,5,5,4,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3,1,3,3,4,4,4,4,5,5,5,5,5,6,5,6,7,7,7,9,10,10,9,10,8,6,6,16,16
3,Cartago,302,Paraíso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,6,7,7,8,8,7
3,Cartago,305,Turrialba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,3,3,3,4,6,7
4,Heredia,402,Barva,7,7,7,7,7,7,6,6,6,5,4,4,4,4,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,5,5,5,5,2,4,6,6,6,6,6,6,4,5,10,12,15,15,19,21,22,22,20,22,24,24,25,28,30,29,33,36,37
4,Heredia,407,Belén,3,3,3,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,6,6,9,9,9,9,10,10,11,9,11,12,12,14,16,16,19,24,17,17,18,19,20,23,29,31,31,31,31,26,26,29,31,32,31
4,Heredia,408,Flores,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,4,4,4,4,5,6,7,8,8,9,9,10,10,13,15,15,17,18,20,20,20,21,24,25
4,Heredia,401,Heredia,13,13,11,11,11,10,9,9,8,7,7,7,9,9,21,21,21,19,19,18,17,17,21,29,29,28,28,28,28,29,29,28,28,28,28,28,28,28,28,29,29,31,32,33,36,40,43,43,42,42,50,55,61,62,64,69,77,78,83,79,82,89,92,96,99,103,107,107,112,118,118,126,146,154,177,181,192,202,219,246,262,284,312,337,359
4,Heredia,406,San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,6,7,9,11,12,14,14,14,16,19,24,26,31,34,37,37
4,Heredia,409,San Pablo,8,7,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,4,8,8,8,9,9,9,9,9,14,14,14,14,14,12,12,13,13,13,12,12,12,12,13,13,13,12,13,14,15,15,21,21,22,23,29,28,28,31,37,39,41
4,Heredia,405,San Rafael,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,3,3,2,2,2,4,4,5,6,6,4,8,9,13,13,14,15,15,15,16,11,11,12,12,14,15,16,20,22,28,33,36,41,43,46,47,52,59,60
4,Heredia,404,Santa Barbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,6,6,7,9,11,11,8,9,9,9,10,10,14,16,17,17,17,14,11,13,17,19,26,28,29
4,Heredia,403,Santo Domingo,6,6,5,5,5,5,5,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6,7,7,8,8,8,7,8,9,9,9,6,7,8,9,10,13,18,21,25,25,27,30,37,38,38,39,42,44
4,Heredia,410,Sarapiquí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,5,5,5,5,4,5,7,7,7,5,6,6,7,7,7,7,7,5,5,5,6,7,7,7,6,6,6,6,6,6,8,8,8,8,7,7,7,7,7,10,10,10
5,Guanacaste,507,Abangares,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,2,3,3,3,5,5,5,9,9,16,16,16,16,17,19,19,19,19,19,19,19,19,19,19,20,18,15,15,15,15,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,5,5,5,5,5,5
5,Guanacaste,504,Bagaces,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,3,3,4,4,4,4,5,5,7,7,8,8,9,9,9,9,9,10,13,13,13,13,10,10,7,7,7,7,5,5,5,4,4,5,5,6,8,8,10,10,10,14,15,14,14,10,10,10,10,10
5,Guanacaste,506,Cañas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,7,8,8,8,10,11,13,16,15,16,18,18,19,19,19,19,20,20,20,22,22,23,24,24,25,25,25,25,25,25,25,25,25,25,25,8,9,12,12,12,12,10,9,9,8,8,8,8,9,9,9,12,15,16,19,19,20,22,34,40,49,53,53
5,Guanacaste,505,Carrillo,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,6,7,7,5,5,5,6,10,11,13,13,9
5,Guanacaste,511,Hojancha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,7,11,12,14,15,15,15,15,15,15,16,12,12,8,7,6,5,5,5,6,6,6,5,5,7,7,7,7,7
5,Guanacaste,510,La Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,7,5,5,5,6,3,8,8,22,22,22,24,24,25,26,20,21,22,22,29,27,30,30,27,27,27,27,26,26,25,25
5,Guanacaste,501,Liberia,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,7,9,11,11,11,11,13,12,15,15,14,14,15,15,15,16,17,16,16,16,16,17,10,11,13,13,15,16,17,20,22,23,26,30,31,36,39,41,46,46,46,49,51,43,43,49,45,49,50,51
5,Guanacaste,509,Nandayure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Guanacaste,502,Nicoya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,7,10,10,14,16,19,17,22,26,34,36,40,40,41,43,47,57,56,60,62,62,62,62,36,30,34,35,35,36,30,32,24,26,27,38
5,Guanacaste,503,Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,3,3,3,3,0,1,1,2,2,3,4,7,8,8,8,12,12,11,12,11,13,14,14,10,10,12,12,13,16,17,18,20
5,Guanacaste,508,Tilarán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
6,Puntarenas,603,Buenos Aires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2
6,Puntarenas,610,Corredores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,7,6,8,9,18,23,25,26,29,37,37,40,44,37,40,47,47,59,58,72,73,86,92,106,112
6,Puntarenas,608,Coto Brus,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
